observed,year,month,day,place,lat,lng
2011-05-29,2011,5,29,"Brewster County, TX, USA",30.3172261376,-103.625892698
1988-05-14,1988,5,14,"Brownsville, TX, USA",26.1710037412,-97.3401742774
1988-05-14,1988,5,14,"Unnamed Road Los Fresnos, TX 78566",26.2382419687,-97.363886162
2011-06-02,2011,6,2,"Pinto Canyon Rd, Marfa, TX, US",30.2588333333,-104.1541666667
2015-06-28,2015,6,28,"Culberson County, TX, USA",31.9102039526,-104.7997748852
2014-06-02,2014,6,2,"Val Verde County, TX, USA",29.723865098,-100.9654390812
2016-06-11,2016,6,11,"Wichita County, TX, USA",33.9860717902,-98.9072942734
2008-07-11,2008,7,11,"San Angelo, TX, USA",31.4144331941,-100.4316365719
2007-10-04,2007,10,4,"Tom Green County, TX, USA",31.3881569314,-100.225962102
2007-10-04,2007,10,4,"Tom Green County, TX, USA",31.3881431933,-100.2256536484
2014-06-02,2014,6,2,"Terrell County, TX, USA",30.5371397664,-102.044198065
2010-06-09,2010,6,9,"Terrell County, TX, USA",30.3965824197,-102.1848517656
2007-06-06,2007,6,6,"Terrell County, TX, USA",30.4004690608,-102.301244884
2010-05-05,2010,5,5,"Sterling County, TX, USA",31.8046341224,-100.943577736
2014-07-08,2014,7,8,"Lynn County, TX, USA",33.2834046852,-101.9443541765
2013-06-28,2013,6,28,"Jeff Davis County, TX, USA",30.5475015555,-104.270363152
2014-06-02,2014,6,2,"Crockett County, US-TX, US",30.6664778085,-101.6654020208
2013-06-28,2013,6,28,"Jeff Davis County, TX, USA",30.5442075251,-104.282787144
2009-05-04,2009,5,4,"Irion County, TX, USA",31.1247965585,-101.185747683
2013-06-27,2013,6,27,"Jeff Davis County, TX, USA",30.5253975334,-104.387108981
2016-11-03,2016,11,3,"McLennan County, US-TX, US",31.54070677,-97.21564355
2015-09-20,2015,9,20,"6323 FM1294, Lubbock, TX 79415",33.693791,-101.954351
2016-07-23,2016,7,23,"East Mountain El Paso, TX 79938",31.9264056415,-106.042487248
2016-10-09,2016,10,9,"Crane County, US-TX, US",31.39966136,-102.34939441
2016-10-01,2016,10,1,"Mason County, TX, USA",30.8537294029,-99.2281723022
2016-05-24,2016,5,24,"La Salle County, TX, USA",28.3633008333,-99.0118027778
2016-09-10,2016,9,10,"Texas, US",30.4401305528,-102.3742336867
2015-07-25,2015,7,25,"79502, Aspermont, TX, US",33.0513719943,-100.5129550281
2016-06-19,2016,6,19,"79549, Snyder, TX, US",33.0557936053,-100.5263766417
2016-07-17,2016,7,17,"79549, Snyder, TX, US",33.0350709606,-100.5235627266
2016-06-05,2016,6,5,"79549, Snyder, TX, US",33.0838905844,-100.5371762232
2016-09-03,2016,9,3,"79502, Aspermont, TX, US",33.0471178006,-100.5092616171
2016-09-02,2016,9,2,"79502, Aspermont, TX, US",33.0417865865,-100.5065780764
2016-08-27,2016,8,27,"79415, Lubbock, TX, US",33.6256359075,-101.8907222444
2016-08-25,2016,8,25,"Texas, US",30.8362593348,-101.0051212464
2016-08-03,2016,8,3,"Texas, US",31.8999514376,-102.4977820701
2016-07-13,2016,7,13,"Texas, US",34.0944013624,-101.262768883
2016-08-20,2016,8,20,"Texas, US",32.6001095661,-102.2218319179
2016-08-20,2016,8,20,"Texas, US",27.8423314465,-98.0783392712
2016-08-19,2016,8,19,Duval county texas,27.998191,-98.245625
2016-08-19,2016,8,19,Duval county texas,28.016321,-98.23656
2011-04-07,2011,4,7,"Zapata County, TX, USA",27.002874309,-99.1087388992
2013-04-17,2013,4,17,"Webb County, TX, USA",27.3356666667,-98.9671666667
2016-05-30,2016,5,30,"La Salle County, TX, USA",28.1616111027,-99.0623474121
2016-08-16,2016,8,16,"Randall County, US-TX, US",34.98180712,-101.95720893
2016-08-14,2016,8,14,"79415, Lubbock, TX, US",33.6275683324,-101.8871061682
2016-08-13,2016,8,13,"11429 Twin Lakes Lane San Angelo, TX 76904",31.3178212409,-100.592077506
2016-07-01,2016,7,1,"McCulloch, Texas, United States",31.2854444444,-99.3356472222
2016-07-01,2016,7,1,"Randall County, TX, USA",34.960017689,-101.675183773
2016-05-26,2016,5,26,"Gaines County, TX, USA",32.6957801544,-102.258454263
2016-07-30,2016,7,30,"Texas, US",33.9933418686,-102.6122593414
2016-08-04,2016,8,4,"4600 W Yucca Dr, Amarillo, TX, US",35.27267,-101.8894366667
2016-08-05,2016,8,5,"Rita Blanca National Grassland, Texline, TX, US",36.3629633333,-102.795945
2016-07-30,2016,7,30,"Texas, US",33.9402074908,-102.6487280442
2016-08-06,2016,8,6,"79415, Lubbock, TX, US",33.6286883333,-101.890075
2016-07-30,2016,7,30,"11429 Twin Lakes Lane San Angelo, TX 76904",31.3178823265,-100.5924622641
2016-07-30,2016,7,30,"79415, Lubbock, TX, US",33.6333,-101.8964216667
2016-07-23,2016,7,23,"Texas, US",34.4575443159,-101.1760556252
2016-07-28,2016,7,28,"Quitaque, TX 79255",34.4604783785,-101.0314073414
2016-07-27,2016,7,27,"Unnamed Road Cee Vee, TX 79223",34.1228266638,-100.4043179378
2016-07-22,2016,7,22,"RM 2400, Fort Stockton, TX, US",30.361175,-102.3880083333
2016-07-24,2016,7,24,"79415, Lubbock, TX, US",33.630295,-101.890075
2016-07-21,2016,7,21,Potter County TX,35.5595258934,-101.7408459261
2016-07-16,2016,7,16,"Texas, US",33.6817826087,-101.9086020559
2016-07-17,2016,7,17,"Frio County, US-TX, US",28.709832,-98.973365
